"DateTime";"AC Wirkleistung [kW]";"AC Energie (Eout) [kWh]"
"2023-07-10 04:25:00";0;0
"2023-07-10 04:30:00";0;0
"2023-07-10 04:35:00";0;0
"2023-07-10 04:40:00";0;0
"2023-07-10 04:45:00";0;0
"2023-07-10 04:50:00";0;0
"2023-07-10 04:55:00";0,02;0
"2023-07-10 05:00:00";0,09;0,01
"2023-07-10 05:05:00";0,23;0,03
"2023-07-10 05:10:00";0,53;0,07
"2023-07-10 05:15:00";0,99;0,16
"2023-07-10 05:20:00";1,52;0,28
"2023-07-10 05:25:00";1,92;0,45
"2023-07-10 05:30:00";2,23;0,63
"2023-07-10 05:35:00";2,43;0,83
"2023-07-10 05:40:00";2,54;1,04
"2023-07-10 05:45:00";2,67;1,26
"2023-07-10 05:50:00";2,89;1,5
"2023-07-10 05:55:00";3,01;1,76
"2023-07-10 06:00:00";2,71;1,98
"2023-07-10 06:05:00";2,11;2,16
"2023-07-10 06:10:00";2,02;2,33
"2023-07-10 06:15:00";2,45;2,53
"2023-07-10 06:20:00";3,36;2,81
"2023-07-10 06:25:00";5,46;3,27
"2023-07-10 06:30:00";7,31;3,87
"2023-07-10 06:35:00";7,47;4,5
"2023-07-10 06:40:00";8,84;5,24
"2023-07-10 06:45:00";10,4;6,1
"2023-07-10 06:50:00";12,4;7,13
"2023-07-10 06:55:00";15,65;8,44
"2023-07-10 07:00:00";17,64;9,91
"2023-07-10 07:05:00";9,7;10,71
"2023-07-10 07:10:00";8,09;11,39
"2023-07-10 07:15:00";6,14;11,9
"2023-07-10 07:20:00";2,97;12,15
"2023-07-10 07:25:00";1,43;12,27
"2023-07-10 07:30:00";1,44;12,39
"2023-07-10 07:35:00";1,57;12,52
"2023-07-10 07:40:00";1,9;12,68
"2023-07-10 07:45:00";1,67;12,82
"2023-07-10 07:50:00";1,84;12,97
"2023-07-10 07:55:00";2,06;13,14
"2023-07-10 08:00:00";1,45;13,26
"2023-07-10 08:05:00";1,09;13,36
"2023-07-10 08:10:00";1,3;13,46
"2023-07-10 08:15:00";1,9;13,62
"2023-07-10 08:20:00";3,8;13,94
"2023-07-10 08:25:00";6,52;14,48
"2023-07-10 08:30:00";10;15,31
"2023-07-10 08:35:00";13,27;16,42
"2023-07-10 08:40:00";15,76;17,73
"2023-07-10 08:45:00";17,84;19,22
"2023-07-10 08:50:00";19,63;20,85
"2023-07-10 08:55:00";21,76;22,68
"2023-07-10 09:00:00";24,61;24,71
"2023-07-10 09:05:00";29,23;27,15
"2023-07-10 09:10:00";36,22;30,17
"2023-07-10 09:15:00";35,94;33,17
"2023-07-10 09:20:00";24,37;35,21
"2023-07-10 09:25:00";26,34;37,4
"2023-07-10 09:30:00";25,66;39,55
"2023-07-10 09:35:00";20,54;41,25
"2023-07-10 09:40:00";33,86;44,08
"2023-07-10 09:45:00";58,87;48,99
"2023-07-10 09:50:00";61,6;54,1
"2023-07-10 09:55:00";62,02;59,27
"2023-07-10 10:00:00";62,36;64,48
"2023-07-10 10:05:00";63,11;69,75
"2023-07-10 10:10:00";64,38;75,09
"2023-07-10 10:15:00";62,15;80,27
"2023-07-10 10:20:00";61,26;85,39
"2023-07-10 10:25:00";61,67;90,54
"2023-07-10 10:30:00";62,85;95,79
"2023-07-10 10:35:00";62,54;100,97
"2023-07-10 10:40:00";65,32;106,43
"2023-07-10 10:45:00";64,14;111,78
"2023-07-10 10:50:00";65,9;117,28
"2023-07-10 10:55:00";65,73;122,73
"2023-07-10 11:00:00";53,91;127,23
"2023-07-10 11:05:00";68,01;132,91
"2023-07-10 11:10:00";66,78;138,49
"2023-07-10 11:15:00";62,27;143,68
"2023-07-10 11:20:00";65,53;149,11
"2023-07-10 11:25:00";63,24;154,38
"2023-07-10 11:30:00";62,51;159,59
"2023-07-10 11:35:00";68,37;165,31
"2023-07-10 11:40:00";71,25;171,23
"2023-07-10 11:45:00";76,4;177,65
"2023-07-10 11:50:00";77,26;184,05
"2023-07-10 11:55:00";74,12;190,24
"2023-07-10 12:00:00";75,01;196,51
"2023-07-10 12:05:00";75,71;202,83
"2023-07-10 12:10:00";74,42;208,98
"2023-07-10 12:15:00";73,26;215,11
"2023-07-10 12:20:00";74,93;221,35
"2023-07-10 12:25:00";68,7;227,09
"2023-07-10 12:30:00";57,16;231,84
"2023-07-10 12:35:00";61,86;237,01
"2023-07-10 12:40:00";70,97;242,94
"2023-07-10 12:45:00";74,7;249,17
"2023-07-10 12:50:00";75,64;255,49
"2023-07-10 12:55:00";75,53;261,79
"2023-07-10 13:00:00";75,68;268,11
"2023-07-10 13:05:00";74,9;274,32
"2023-07-10 13:10:00";75,38;280,6
"2023-07-10 13:15:00";76,82;287,02
"2023-07-10 13:20:00";80,42;293,75
"2023-07-10 13:25:00";62,47;298,95
"2023-07-10 13:30:00";65,28;304,35
"2023-07-10 13:35:00";72,56;310,4
"2023-07-10 13:40:00";71,28;316,35
"2023-07-10 13:45:00";31,15;318,92
"2023-07-10 13:50:00";24,43;320,97
"2023-07-10 13:55:00";22,67;322,86
"2023-07-10 14:00:00";34,63;325,74
"2023-07-10 14:05:00";66,22;331,27
"2023-07-10 14:10:00";83,7;338,26
"2023-07-10 14:15:00";81,31;345
"2023-07-10 14:20:00";80,01;351,68
"2023-07-10 14:25:00";78,72;358,25
"2023-07-10 14:30:00";77,78;364,74
"2023-07-10 14:35:00";70,84;370,67
"2023-07-10 14:40:00";76,64;377,01
"2023-07-10 14:45:00";77,31;383,47
"2023-07-10 14:50:00";39,52;386,77
"2023-07-10 14:55:00";38,09;389,94
"2023-07-10 15:00:00";22,11;391,8
"2023-07-10 15:05:00";30,22;394,31
"2023-07-10 15:10:00";69,42;400,1
"2023-07-10 15:15:00";69,71;405,91
"2023-07-10 15:20:00";33,84;408,72
"2023-07-10 15:25:00";23,51;410,68
"2023-07-10 15:30:00";14,98;411,93
"2023-07-10 15:35:00";38,24;415,13
"2023-07-10 15:40:00";47,88;419,13
"2023-07-10 15:45:00";64,35;424,49
"2023-07-10 15:50:00";57,31;429,23
"2023-07-10 15:55:00";70,6;435,12
"2023-07-10 16:00:00";63,74;440,44
"2023-07-10 16:05:00";43,01;444,03
"2023-07-10 16:10:00";53,08;448,45
"2023-07-10 16:15:00";43,07;452,02
"2023-07-10 16:20:00";41,9;455,52
"2023-07-10 16:25:00";37,7;458,68
"2023-07-10 16:30:00";35,51;461,63
"2023-07-10 16:35:00";32,92;464,38
"2023-07-10 16:40:00";26,68;466,59
"2023-07-10 16:45:00";36,07;469,6
"2023-07-10 16:50:00";49,59;473,74
"2023-07-10 16:55:00";49,78;477,88
"2023-07-10 17:00:00";32,37;480,58
"2023-07-10 17:05:00";20,18;482,26
"2023-07-10 17:10:00";17,88;483,75
"2023-07-10 17:15:00";33,02;486,49
"2023-07-10 17:20:00";57,57;491,29
"2023-07-10 17:25:00";50,58;495,51
"2023-07-10 17:30:00";42,2;499,03
"2023-07-10 17:35:00";47,88;503,02
"2023-07-10 17:40:00";37,49;506,16
"2023-07-10 17:45:00";21,06;507,89
"2023-07-10 17:50:00";34,36;510,75
"2023-07-10 17:55:00";52,15;515,1
"2023-07-10 18:00:00";38,37;518,31
"2023-07-10 18:05:00";39,15;521,57
"2023-07-10 18:10:00";32,57;524,27
"2023-07-10 18:15:00";24,96;526,36
"2023-07-10 18:20:00";22,67;528,25
"2023-07-10 18:25:00";31,62;530,88
"2023-07-10 18:30:00";23,26;532,81
"2023-07-10 18:35:00";10,89;533,72
"2023-07-10 18:40:00";16,04;535,06
"2023-07-10 18:45:00";11,31;536,01
"2023-07-10 18:50:00";10,04;536,85
"2023-07-10 18:55:00";8,44;537,54
"2023-07-10 19:00:00";8,2;538,23
"2023-07-10 19:05:00";9,35;539,01
"2023-07-10 19:10:00";10,87;539,92
"2023-07-10 19:15:00";14,68;541,14
"2023-07-10 19:20:00";20,05;542,8
"2023-07-10 19:25:00";18,25;543,12
"2023-07-10 21:56:00";;